,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
54,722247,54785,2013,1,3,4,53,40.624,-74.669,30,300,1.5,-2.8,-9.4,1022.3
55,722247,54785,2013,1,3,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
56,722247,54785,2013,1,3,5,53,40.624,-74.669,30,999,1.5,-2.8,-9.4,1021.7
57,722247,54785,2013,1,3,6,53,40.624,-74.669,30,310,1.5,-3.3,-9.4,1022.1
58,722247,54785,2013,1,3,7,53,40.624,-74.669,30,300,1.5,-3.3,-9.4,1022.4
59,722247,54785,2013,1,3,8,53,40.624,-74.669,30,999,0.0,-3.9,-9.4,1022.0
60,722247,54785,2013,1,3,9,53,40.624,-74.669,30,999,0.0,-3.9,-9.4,1022.0
61,722247,54785,2013,1,3,10,53,40.624,-74.669,30,999,0.0,-5.0,-8.9,1021.9
62,722247,54785,2013,1,3,11,53,40.624,-74.669,30,999,0.0,-6.1,-8.3,1022.1
63,722247,54785,2013,1,3,12,53,40.624,-74.669,30,999,0.0,-6.1,-8.9,1022.1
64,722247,54785,2013,1,3,13,53,40.624,-74.669,30,999,0.0,-3.3,-8.3,1022.4
65,722247,54785,2013,1,3,14,53,40.624,-74.669,30,999,2.1,-2.2,-9.4,1022.7
66,722247,54785,2013,1,3,15,53,40.624,-74.669,30,999,0.0,-1.1,-10.0,1021.9
67,722247,54785,2013,1,3,16,53,40.624,-74.669,30,999,2.6,-0.6,-10.0,1020.8
68,722247,54785,2013,1,3,17,53,40.624,-74.669,30,999,0.0,0.0,-10.0,1019.6
69,722247,54785,2013,1,3,18,53,40.624,-74.669,30,999,2.6,0.6,-10.0,1019.1
70,722247,54785,2013,1,3,19,53,40.624,-74.669,30,300,4.6,0.6,-10.0,1018.6
71,722247,54785,2013,1,3,20,53,40.624,-74.669,30,999,2.1,0.0,-10.0,1018.7
72,722247,54785,2013,1,3,21,53,40.624,-74.669,30,999,2.1,-1.1,-9.4,1019.1
73,722247,54785,2013,1,3,22,53,40.624,-74.669,30,999,0.0,-1.7,-10.0,1019.4
